Project,Date,accessors,blocker_violations,conditions_to_cover,new_it_conditions_to_cover,new_conditions_to_cover,burned_budget,business_value,classes,class_complexity_distribution,comment_lines,commented_out_code_lines,comment_lines_density,comment_lines_data,complexity,class_complexity,file_complexity,function_complexity,complexity_in_classes,complexity_in_functions,branch_coverage,new_it_branch_coverage,new_branch_coverage,conditions_by_line,confirmed_issues,coverage,new_it_coverage,coverage_line_hits_data,new_coverage,covered_conditions_by_line,critical_violations,last_commit_date,directories,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,duplications_data,false_positive_issues,files,file_complexity_distribution,functions,function_complexity_distribution,generated_lines,generated_ncloc,info_violations,violations,it_conditions_to_cover,it_branch_coverage,it_conditions_by_line,it_coverage,it_coverage_line_hits_data,it_covered_conditions_by_line,it_line_coverage,it_lines_to_cover,it_uncovered_conditions,it_uncovered_lines,line_coverage,new_it_line_coverage,new_line_coverage,lines,ncloc,ncloc_language_distribution,lines_to_cover,new_it_lines_to_cover,new_lines_to_cover,major_violations,minor_violations,ncloc_data,new_blocker_violations,new_critical_violations,new_info_violations,new_violations,new_major_violations,new_minor_violations,open_issues,overall_conditions_to_cover,new_overall_conditions_to_cover,overall_branch_coverage,new_overall_branch_coverage,overall_conditions_by_line,overall_coverage,overall_coverage_line_hits_data,new_overall_coverage,overall_covered_conditions_by_line,overall_line_coverage,new_overall_line_coverage,overall_lines_to_cover,new_overall_lines_to_cover,overall_uncovered_conditions,new_overall_uncovered_conditions,overall_uncovered_lines,new_overall_uncovered_lines,projects,public_api,public_documented_api_density,public_undocumented_api,quality_gate_details,alert_status,reopened_issues,skipped_tests,development_cost,sqale_rating,statements,new_technical_debt,sqale_debt_ratio,new_sqale_debt_ratio,uncovered_conditions,new_it_uncovered_conditions,new_uncovered_conditions,uncovered_lines,new_it_uncovered_lines,new_uncovered_lines,test_errors,test_failures,test_success_density,tests,test_data,test_execution_time,code_smells:complex_class,code_smells:blob_class,code_smells:class_data_private,code_smells:functional_decomposition,code_smells:spaghetti_code,code_smells:antisingleton,code_smells:baseclass_knows_derived,code_smells:baseclass_abstract,code_smells:large_class,code_smells:lazy_class,code_smells:long_method,code_smells:long_parameter_list,code_smells:many_field_attributes_not_complex,code_smells:message_chains,code_smells:refused_parent_bequest,code_smells:speculative_generality,code_smells:swiss_army_knife,code_smells:tradition_breaker,Jira
CLI,2005-06-04T00:00:00+0200,121,0,null,null,null,null,null,145,null,3209,null,17.0,null,2241,15.5,16.8,1.9,null,null,null,null,null,null,0,null,null,null,null,null,94,null,21,54,16,1185,4.5,null,0,133,0=43;5=18;10=26;20=22;30=19;60=4;90=1,1160,1=731;2=194;4=80;6=31;8=18;10=4;12=21,null,null,25,866,null,null,null,null,null,null,null,null,null,null,null,null,null,26596,15637,java=15637,null,null,null,432,315,null,null,null,null,null,null,null,866,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1167,39.4,707,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"0";"level":"OK"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"88";"level":"ERROR"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"866";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,469110,A,6472,null,2.9,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
CLI,2005-06-15T00:00:00+0200,121,0,null,null,null,null,null,145,null,3209,null,17.0,null,2241,15.5,16.8,1.9,null,null,null,null,null,null,0,null,null,null,null,null,94,null,21,54,16,1185,4.5,null,0,133,0=43;5=18;10=26;20=22;30=19;60=4;90=1,1160,1=731;2=194;4=80;6=31;8=18;10=4;12=21,null,null,25,866,null,null,null,null,null,null,null,null,null,null,null,null,null,26598,15639,java=15639,null,null,null,432,315,null,null,null,null,null,null,null,866,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1167,39.4,707,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"0";"level":"OK"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"88";"level":"ERROR"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"866";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,469170,A,6472,null,2.9,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
CLI,2005-06-16T00:00:00+0200,121,0,null,null,null,null,null,145,null,3225,null,17.1,null,2248,15.5,16.9,1.9,null,null,null,null,null,null,0,null,null,null,null,null,95,null,21,54,16,1185,4.4,null,0,133,0=43;5=17;10=27;20=22;30=19;60=4;90=1,1161,1=731;2=195;4=79;6=31;8=19;10=4;12=21,null,null,25,872,null,null,null,null,null,null,null,null,null,null,null,null,null,26660,15675,java=15675,null,null,null,434,318,null,null,null,null,null,null,null,872,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1168,39.4,708,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"0";"level":"OK"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"89";"level":"ERROR"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"872";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,470250,A,6499,null,2.9,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58
CLI,2005-06-17T00:00:00+0200,121,0,null,null,null,null,null,146,null,3224,null,17.0,null,2261,15.5,16.9,1.9,null,null,null,null,null,null,0,null,null,null,null,null,96,null,21,54,16,1185,4.4,null,0,134,0=43;5=17;10=28;20=22;30=19;60=4;90=1,1173,1=742;2=196;4=79;6=31;8=19;10=4;12=21,null,null,24,884,null,null,null,null,null,null,null,null,null,null,null,null,null,26788,15773,java=15773,null,null,null,447,317,null,null,null,null,null,null,null,884,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1177,39.1,717,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"0";"level":"OK"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"90";"level":"ERROR"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"884";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,473190,A,6548,null,3.2,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
CLI,2005-06-18T00:00:00+0200,120,0,null,null,null,null,null,146,null,3224,null,16.9,null,2264,15.5,16.9,1.9,null,null,null,null,null,null,0,null,null,null,null,null,97,null,21,54,16,1185,4.4,null,0,134,0=42;5=18;10=28;20=22;30=19;60=4;90=1,1175,1=743;2=197;4=79;6=31;8=19;10=4;12=21,null,null,24,887,null,null,null,null,null,null,null,null,null,null,null,null,null,26819,15799,java=15799,null,null,null,449,317,null,null,null,null,null,null,null,887,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1179,39.1,718,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"0";"level":"OK"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"91";"level":"ERROR"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"887";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,473970,A,6565,null,3.2,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
CLI,2005-09-02T00:00:00+0200,120,0,null,null,null,null,null,147,null,3239,null,16.9,null,2272,15.5,16.8,1.9,null,null,null,null,null,null,0,null,null,null,null,null,97,null,21,54,16,1185,4.4,null,0,135,0=43;5=17;10=29;20=22;30=19;60=4;90=1,1183,1=751;2=197;4=79;6=31;8=19;10=4;12=21,null,null,24,888,null,null,null,null,null,null,null,null,null,null,null,null,null,26949,15878,java=15878,null,null,null,449,318,null,null,null,null,null,null,null,888,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1188,38.8,727,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"0";"level":"OK"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"91";"level":"ERROR"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"888";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,476340,A,6613,null,3.1,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
CLI,2005-09-03T00:00:00+0200,120,0,null,null,null,null,null,147,null,3239,null,16.9,null,2272,15.5,16.8,1.9,null,null,null,null,null,null,0,null,null,null,null,null,97,null,21,54,16,1185,4.4,null,0,135,0=43;5=17;10=29;20=22;30=19;60=4;90=1,1183,1=751;2=197;4=79;6=31;8=19;10=4;12=21,null,null,24,888,null,null,null,null,null,null,null,null,null,null,null,null,null,26949,15878,java=15878,null,null,null,449,318,null,null,null,null,null,null,null,888,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1188,38.8,727,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"0";"level":"OK"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"91";"level":"ERROR"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"888";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,476340,A,6613,null,3.1,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
CLI,2005-09-04T00:00:00+0200,120,0,null,null,null,null,null,147,null,3447,null,17.8,null,2275,15.5,16.9,1.9,null,null,null,null,null,null,0,null,null,null,null,null,97,null,21,54,16,1185,4.3,null,0,135,0=43;5=17;10=29;20=22;30=19;60=4;90=1,1185,1=753;2=197;4=79;6=31;8=18;10=5;12=21,null,null,24,890,null,null,null,null,null,null,null,null,null,null,null,null,null,27244,15884,java=15884,null,null,null,451,318,null,null,null,null,null,null,null,890,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1189,39.2,723,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"0";"level":"OK"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"91";"level":"ERROR"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"890";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,476520,A,6614,null,3.1,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
CLI,2005-09-05T00:00:00+0200,120,0,null,null,null,null,null,147,null,3451,null,17.8,null,2282,15.5,16.9,1.9,null,null,null,null,null,null,0,null,null,null,null,null,100,null,21,54,16,1185,4.3,null,0,135,0=43;5=16;10=30;20=22;30=19;60=4;90=1,1189,1=754;2=200;4=79;6=31;8=18;10=5;12=21,null,null,24,899,null,null,null,null,null,null,null,null,null,null,null,null,null,27335,15955,java=15955,null,null,null,452,323,null,null,null,null,null,null,null,899,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1193,39.1,726,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"0";"level":"OK"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"94";"level":"ERROR"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"899";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,478650,A,6668,null,3.2,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,59
CLI,2005-09-06T00:00:00+0200,118,0,null,null,null,null,null,147,null,3468,null,17.7,null,2290,15.6,17.0,1.9,null,null,null,null,null,null,0,null,null,null,null,null,104,null,21,54,16,1185,4.3,null,0,135,0=42;5=17;10=30;20=22;30=19;60=4;90=1,1193,1=756;2=202;4=79;6=31;8=18;10=5;12=21,null,null,24,907,null,null,null,null,null,null,null,null,null,null,null,null,null,27531,16103,java=16103,null,null,null,456,323,null,null,null,null,null,null,null,907,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1194,39.1,727,{"level":"ERROR";"conditions":[{"metric":"blocker_violations";"op":"GT";"error":"0";"actual":"0";"level":"OK"};{"metric":"critical_violations";"op":"GT";"period":1;"error":"0";"actual":"98";"level":"ERROR"};{"metric":"open_issues";"op":"GT";"warning":"0";"actual":"907";"level":"WARN"};{"metric":"reopened_issues";"op":"GT";"warning":"0";"actual":"0";"level":"OK"}]},ERROR,0,null,483090,A,6753,null,3.1,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
